"geneName","24","26","28","30","32","34","36","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70"
"Myo81F",1.12339,0.820295,1.15477,0.920656,0.52343,0.95289,1.03526,0.824059,0.777064,0.447005,1.33204,0.670047,0.500907,0.323622,0.62868,0.564452,0.273225,0.392744,0.568659,0.587953,0.602555,0.1681,0.487884,0.850688
"Pzl",0.0663795,0.190151,0.128886,0.0660573,0.0584208,0.0638121,0.138656,0,0.120087,0.0641454,0.0637161,0,0.167721,0.10836,0.0574101,0,0,0,0.114244,0.0590601,0,0.168857,0,0
"spok",0,0.951348,1.20905,0.743607,0.219214,0.239444,0,0.238928,0.450605,1.20347,0.956335,2.06637,0.209781,0.609902,0,0.42551,0.20597,0.211477,0.214341,0.886452,0.41294,0.211202,0.204327,0.641288
"Parp",63.3936,51.866,46.768,61.2794,26.6675,44.8337,75.6885,40.5849,33.5971,45.8775,51.1997,32.0493,31.753,17.7794,25.9646,25.0468,24.479,28.9273,33.4044,37.3952,18.5196,22.496,15.8074,27.2027
"Alg-2",130.399,119.573,120.901,125.646,86.225,126.682,160.69,108.539,105.782,112.816,116.226,89.735,96.3053,65.1527,88.4535,95.9063,69.9946,95.6113,107.76,93.0002,59.5895,77.5158,53.7683,85.5609
"Tim17b",628.345,555.074,509.106,565.107,490.913,554.893,668.535,485.528,539.694,485.165,551.113,402.471,409.504,337.597,374.528,423.169,402.064,435.692,439.962,448.067,373.672,380.631,343.915,442.286
"CG41128",357.775,275.128,334.079,400.882,158.641,338.686,444.976,352.365,187.751,343.094,348.662,344.896,143.764,104.771,131.095,116.641,133.247,156.52,184.492,178.602,204.884,156.317,159.07,173.447
"CG41099",91.1024,75.1327,71.7742,82.9191,61.4276,88.8047,124.612,90.3449,64.7498,65.7462,76.1234,59.2313,64.6351,66.7188,68.2717,56.292,50.4876,62.3872,70.462,72.6392,42.8535,64.5092,37.9852,58.7395
"CG42402",24.1822,18.0326,26.1483,21.7898,15.5587,21.7094,19.4341,23.037,14.1321,24.4616,21.9464,20.6499,10.1906,8.2508,9.34066,19.3148,10.7871,8.23156,14.1228,13.5586,16.6818,12.0448,9.55745,11.8776
"Gfat1",39.8696,38.3212,21.0948,31.3186,32.4998,34.4346,32.8467,32.6706,72.2938,51.8788,29.784,42.2203,63.433,34.4998,46.4946,25.7274,23.9573,27.1973,47.0539,50.4815,64.2678,45.1413,33.7226,37.6926
"CG40198",8.1762,3.63589,3.69664,3.31559,1.2567,1.83023,2.98264,5.47886,6.12062,4.59947,5.48242,3.07117,2.80612,0.77698,0.823305,1.62622,2.33142,2.42469,3.27669,4.01359,1.18364,2.01794,3.12362,3.67634
"CG12581",16.7837,20.6338,17.5162,16.5616,32.1297,16.0556,11.6609,11.7697,19.0963,17.0283,18.5403,31.9094,32.57,30.7265,25.422,23.1255,26.1532,29.0926,23.5017,22.5473,36.7848,28.9079,34.4837,19.9644
"Dsk",266.517,283.641,213.882,277.54,286.849,279.212,260.258,234.286,312.729,295.82,271.664,209.924,269.641,224.943,221.227,236.813,258.601,260.612,256.33,273.103,232.554,267.269,269.4,260.596
"beta-Man",12.3352,21.5022,5.51168,13.2575,23.5005,19.2446,0,1.19442e-08,0.650609,0,16.596,15.5536,25.4399,39.0968,28.6706,0.395728,29.5134,12.3953,20.1079,18.8377,26.8714,41.3665,31.5897,0.281852
"CG14636",1.21643,1.75452,2.64672,3.06863,1.07584,2.62082,3.20208,1.1623,3.83605,2.65691,0,0,4.08204,1.64369,3.45212,2.84618,1.8449,1.80691,1.82471,2.43447,4.06095,0,3.25768,2.61807
"aux",23.3381,42.5833,34.3475,10.9749,11.0655,43.4439,4.80637,1.42466,24.1646,37.852,41.8439,2.41498,2.02033,0.189929,0.00286618,40.583,25.0627,18.8603,3.18714,0.631099,3.65935,27.796,14.0818,40.8032
"CG31516",0.264328,0,0,0.263045,0,0.508208,0.828204,0,0.239097,0.510862,0,0,0.667876,0.215748,0.685833,0.225781,0,0.673275,0.454927,0.470363,0.438222,0.896532,0.433675,0.907401
"DhpD",36.1896,46.9788,34.9114,42.9328,52.5049,44.3542,42.5834,46.9332,54.9581,46.8193,44.4008,50.1968,47.1802,49.9653,43.8835,53.6409,51.8948,63.6053,56.0228,48.1518,63.5049,56.8114,58.8179,57.8936
"CG14641",34.4646,39.9227,32.0878,39.6387,42.7638,32.86,30.9796,29.5374,34.7523,31.1207,31.9971,36.4562,41.1615,32.5115,35.1828,36.4363,40.4136,31.4205,37.4372,39.2101,40.746,39.2844,42.4088,44.1247
"abs",10.7734,13.0164,13.8743,13.1279,18.5764,11.2021,12.6297,8.22533,16.5069,12.5354,12.8736,18.8482,23.1472,20.4581,18.0648,24.4143,21.6357,16.4274,17.9742,15.8453,18.9545,22.1854,20.381,17.5483
"Gel",685.219,708.82,634.705,704.599,773.833,723.15,594.366,592.061,752.661,662.469,679.382,725.282,779.736,756.248,776.308,798.547,776.018,818.564,825.642,842.861,804.746,864.537,770.139,839.395
"CG14642",1.98338,2.52516,1.25774,0.986875,1.29925,0,0,0,0,0,2.50685,1.82825,1.94887,0,2.00127,1.69414,0,0,3.98246,2.3529,0,2.09148,0,0
