"TwdlF",0,0,0.175237,0,0,0,0,0,0,0,0,0,0,0.147293,0.156135,0,0,0,0,0,0.149746,0,0.148065,0.15497
"TwdlG",0.00831752,1.14278,2.12356,7.03354e-05,2.49605,1.38085,1.60769,8.4745e-09,6.46427,0,2.88343,0,0.800854,1.75454,1.15294,0.000514011,1.99089,1.39086,0.000651635,0,0.762622,5.35459,0.977194,0.896283
"CG14644",2.82782,0.830492,0.345553,1.29767,0.719298,1.88143,1.36242,1.45961,2.16376,1.47201,0.625922,0,0.732381,1.03481,0.940306,0,1.25927,0.979929,2.0581,0,1.08219,0,0,0.620366
"TwdlV",0,0,0,0.62776,0,0,0.219694,0,0,0.203456,0.403728,0.193868,1.06289,0.171648,0.363906,0.179699,0.174053,0.357162,0,0,0.349014,0.178473,0,0.361191
"Or82a",9.85111,6.63718,11.0581,11.5231,7.64775,8.91032,10.2834,9.81345,9.08294,7.09579,10.9309,5.51587,6.17827,11.3427,11.5227,10.5554,7.8275,8.52285,9.80236,9.10273,7.84793,9.00912,8.55167,7.79024
"CG1092",67.9196,80.066,71.0124,103.598,79.6209,78.4264,84.449,71.3757,82.3444,68.3695,83.9483,60.9878,64.7108,69.1192,57.2137,84.4708,70.3452,85.1574,78.409,61.335,62.5713,58.8814,60.7322,69.6615
"CG9766",31.0941,31.5072,26.7394,29.8902,22.3013,24.0758,32.4584,25.0034,25.3196,29.0622,36.6088,24.2988,23.1956,20.7928,31.3415,26.4236,24.4965,26.7593,25.4774,27.9097,20.7725,17.8705,19.2103,26.9347
"cpx",334.131,405.035,358.253,398.361,352.104,334.374,303.123,237.391,303.532,401.289,313.715,477.862,386.511,255.751,281.104,336.392,281.013,275.409,349.897,315.997,251.923,253.799,212.433,242.766
"CG9780",163.255,171.53,137.671,159.426,204.026,147.636,99.5068,113.691,150.806,141.332,143.21,174.324,181.081,193.626,173.24,183.603,186.381,163.473,148.62,175.941,197.267,201.921,201.305,177.544
"Vps24",76.7256,82.4575,80.2235,77.3985,85.0023,80.0749,81.7202,67.2407,79.2004,79.3398,76.9924,69.0582,81.2255,80.8521,69.8919,80.9727,70.9198,67.7888,65.0118,76.6286,77.6769,75.7773,87.3906,86.2939
"MP1",228.16,204.542,169.76,184.541,223.859,212.63,163.12,162.332,187.993,171.863,163.91,183.609,206.328,194.18,215.733,218.745,200.009,189.979,209.29,201.182,205.857,215.054,206.044,207.724
"Suv3",21.9208,17.7069,17.3093,17.1477,9.37628,14.6298,20.2427,14.4812,8.7131,14.9836,18.9431,8.22779,7.30307,4.20544,5.88674,4.88116,5.00386,11.4522,6.72521,9.97792,2.23206,6.27069,4.23087,3.395
"Syt14",13.6961,13.2987,13.5563,13.3738,6.27659,13.2047,11.2267,11.4491,10.0613,12.8756,14.081,15.0637,12.88,6.95405,9.98501,9.90402,11.0617,10.2232,12.0598,11.6045,8.60463,8.07099,8.22313,10.9522
"CG9795",31.4053,37.9462,21.6973,19.2107,36.6483,23.1398,11.8112,5.27885,33.9564,11.2869,26.9313,21.5687,36.8458,45.5869,48.1916,33.4857,39.5637,46.323,38.152,49.3106,33.0314,36.2791,35.439,42.4996
